TableName,Key,Text
Text_en,AddDenpa/MESSAGE_001,"I can sense a new signal, Yun!!"
Text_en,AddDenpa/MESSAGE_002,Yun received a heart-pounding signal!!
Text_en,AddDenpa/MESSAGE_003,"I'm so happy you received the signal, Yun!!"
Dialog_en,AdjustResetMessage,Are you going to reset it?
Dialog_en,AdjustSubmitMessage,Should we confirm the correction value with {adjust:F2}?
Text_en,Common/Card/Charisma,Charismatic anonymous document
Text_en,Common/Card/DokiDoki,A thrilling mysterious document
Text_en,Common/Card/YunYun,Yunyun's Strange Document
Text_en,Common/Chara/QChan,Q-chan
Text_en,Common/Param/CharismaParam,Charisma
Text_en,Common/Param/DokiDoki,level of excitement
Text_en,Common/Param/Level1,normal
Text_en,Common/Param/Level3,Bing Bing
Text_en,Common/Param/Level4,Clash
Text_en,Common/Param/Level5,For shut-ins only
Text_en,Common/Param/YunYun,Yunyun degree
Text_en,Common/Trophy/TrophyFirstClear,Cleared once
Text_en,Common/Trophy/TrophyFullCombo,Full combo
Text_en,Common/Trophy/TrophyRankA,Rank A or higher
Text_en,Common/Trophy/TrophyRate95,RATE 95% or higher
Error_en,DefaultErrorMessage,"An error occurred.

Returning to the title screen."
Text_en,DemoTitleBar,Yunyun Radio Wave Syndrome Demo Version {version}
Text_en,DenpaSelect/DLC_Notpurchased,Not purchased
Text_en,DenpaSelect/DefaultAlert,"Unreleased song, Yun."
Text_en,Diary/Diary_001,"February 16th, XXX0.

Dad got divorced and left.

Apparently, it was because of one of Mom's friends?

He'll still play with me once every three months, like before.

""Dad will always be Kurumi's dad,""
he said, patting my head.

I think that's only natural, since he's my dad.

My last name has changed, and from today I'm apparently ""Kurusu Kurumi.""

When I told my friends about it,
Yuuri-chan gave me the nickname ""Kurukuru, Q-chan.""

I don't really get it.

Rei-chan said, ""It sounds cute.""

If it's cute, then I guess it's okay?"
Text_en,Diary/Diary_002,"September 9th, XXX4.

I've only seen Daddy once this year.

I feel like I'll see him even less once I start middle school.

""Kurumi has a stepsister now.""

That's what he said—

He always called him Kurumi's Daddy.

Liar.

I only have Mommy.

Mommy is my only mommy."
Text_en,Diary/Diary_003,"January 6th, XXX5.

I'm moving with Mom.

Apparently, Dad's giving me less money.

Mom got angry and broke my mug.

It seems I'll be transferring to a new public elementary school.

It looks like I'll be going to a different middle school than my classmates—Yuuri and Rei.

"
Text_en,Diary/Diary_004,"April 21st, XXX5.

In this town, not just the elementary school,
but the middle school too, makes my heart ache.

It's scary.

But... I have to do my best.

I don't want to cause trouble for my mom.

She works so hard, staying up late at night."
Text_en,Diary/Diary_005,"March 3rd, XXX5.
""Kurumi wasn't loved by Daddy either,""
Mom laughed at me.

That's true.

If I had been Daddy's ""favorite,""
we wouldn't have been separated, and Mom and Daddy wouldn't have divorced.

None of that would have happened, like the reduction in child support payments.

Mom. Daddy.

I'm sorry I wasn't loved.

I'm sorry I wasn't a cute child.

I'm sorry I'm like this."
Text_en,Diary/Diary_006,"September 1st, XXX5.

I don't want to leave the house anymore.

Nobody cares if I don't go to school anyway.

Why?

I just want to be ""normal.""

I just want to be not unhappy.

I don't need to be happy.

Why—why won't everyone
allow me even that?

I just don't want to feel sad.

I just don't want to feel miserable.

Please, stop doing such terrible things."
Text_en,Diary/Diary_007,"July 15th, XXX7.

Mom has been staying out until morning more often.

I hate Mom's friends.

Mom, Mom, was mine alone.

Why would she want someone like that...?"
Text_en,Diary/Diary_008,"September 9th, XXX7.

It was my birthday, but I was alone until morning.

It was so painful I couldn't sleep.

What if Dad and Mom stopped loving me?

What if my parents thought I was insignificant?

What if they forgot about me?

What am I?

What was I born for?

I never wanted to feel this way.

If it wasn't serious.

If they were going to abandon me anyway.

I didn't want them to pretend to love me.

I'm not a pet.

It's cruel to only dote on me when I'm little."
Text_en,Diary/Diary_009,"December 24th, XXX7.

A lonely Christmas.

(I wasn't really interested in Christmas to begin with, though.)

Thanks to a character named ""Yunyun,""
I felt a little better.

--Lim de Ratento.

Apparently, it's an anime from over 10 years ago.

Its straightforwardness is touching. The morning sun is dazzling."
Text_en,Diary/Diary_010,"March 27, XXX8.

I don't want to go to school."
Text_en,Diary/Diary_011,"April 13th, XXX3.

Before I knew it, I was already 20.

Every time I came home, Mom would...

Of course, she wouldn't like it—having an only daughter like me.

I just want to forget all the bad things.

I just want to think about Yunyun.

It's okay if I can't be happy in reality.

Just in my imagination. In my fantasies.

I wish the happiness in the world of fiction
could last even one second longer."
Text_en,Diary/Diary_012,"October 18th, XXX4.

Being at home.

Not working.

Not studying.

Just escaping reality.

Being here without doing anything.

It seems like everything is something Mom ""hates.""

I'm sorry I can't become a proper human being.

I'm sorry for being like this.

I'm sorry I'm not a cute child, not a good child.

I'm sorry. I'm sorry."
Text_en,Diary/Diary_013,"November 29th, XXX4.

I want to forget everything.

I want to spin around.

Reality, myself, everything.

I want to forget the painful things.

I want to be stupid.

I want to run away.

--I want to do a rim de ratento.

Yunyun, help me."
Text_en,Diary/MESSAGE_001,...Did that really happen?
Text_en,Diary/MESSAGE_002,"...I don't want to remember the past, you know?"
Text_en,Diary/MESSAGE_003,"...If you're having fun now, that's still okay, right?"
Text_en,EPISODE/YUNYUN_000_Prologue_000,To you from that day
Text_en,EPISODE/YUNYUN_001_Main_000_000,01 The beginning of radio waves
Text_en,EPISODE/YUNYUN_001_Main_000_010,01 Dokidoki Yunyun
Text_en,EPISODE/YUNYUN_001_Main_000_020,01 Lim de la Tenton
Text_en,EPISODE/YUNYUN_001_Main_000_030,01 Yunyun's Exploration
Text_en,EPISODE/YUNYUN_001_Main_000_040,01 Mama's in mode!
Text_en,EPISODE/YUNYUN_001_Main_000_041,01 Avoiding Mom's Arrival!
Text_en,EPISODE/YUNYUN_001_Main_000_042,"01 Mama's come, but it was a failure!"
Text_en,EPISODE/YUNYUN_001_Main_000_050,01 Energy Charge Yun!
Text_en,EPISODE/YUNYUN_002_Main_000_000,01 Post by Yunyun!
