TableName,Key,Text
Text_en,AddDenpa/MESSAGE_001,"I can sense a new signal, yun!!"
Text_en,AddDenpa/MESSAGE_002,"Received a heart-pounding signal, yun!!"
Text_en,AddDenpa/MESSAGE_003,"I'm so happy you received the signal, yun!!"
Dialog_en,AdjustResetMessage,"Reset settings, yun?"
Dialog_en,AdjustSubmitMessage,"Confirm calibration value at {adjust:F2}, yun?"
Text_en,Common/Card/Charisma,Charismatic Cryptic Document
Text_en,Common/Card/DokiDoki,Heart-Pounding Cryptic Document
Text_en,Common/Card/YunYun,Yunyun Cryptic Document
Text_en,Common/Chara/QChan,Q-chan
Text_en,Common/Param/CharismaParam,Charisma Level
Text_en,Common/Param/DokiDoki,Heart-Pounding Level
Text_en,Common/Param/Level1,Normal
Text_en,Common/Param/Level3,Buzzing
Text_en,Common/Param/Level4,Crackling
Text_en,Common/Param/Level5,For Shut-ins Only
Text_en,Common/Param/YunYun,Yunyun Level
Text_en,Common/Trophy/TrophyFirstClear,Cleared Once
Text_en,Common/Trophy/TrophyFullCombo,Full Combo
Text_en,Common/Trophy/TrophyRankA,Rank A or Higher
Text_en,Common/Trophy/TrophyRate95,RATE 95% or Higher
Error_en,DefaultErrorMessage,"An error has occurred.
Returning to the title screen."
Text_en,DemoTitleBar,Yunyun Denpa Syndrome Demo Version {version}
Text_en,DenpaSelect/DLC_Notpurchased,Not Purchased
Text_en,DenpaSelect/DefaultAlert,"Unreleased track, yun."
Text_en,Diary/Diary_001,"February 16th, XXX0.
Papa got divorced and moved out.

Something about one of Mama's friends
being the reason, apparently.

He said he'd still come play with me
once every three months, like before.

""Papa will always be Kurumi's papa,"" he said,
patting my head.

Well, obviously. He's my papa, after all.

My last name changed, and starting today
I'm ""Kurusu Kurumi"" now, apparently.

When I told my friends about it,
Yuuri-chan gave me the nickname ""Kurukuru, Q-chan.""
I don't really get it.

Rei-chan said, ""It sounds cute.""

If it's cute, then I guess it's fine?"
